P_NAME,P_MASS,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,S_LOG_G,Atmospheric_Retention,Long_Term_Stability,ESI
gam Lib b,357.87479,13.7,414.88000000000466,1.319,0.16,47.401700000000005,4879.0,1.78,12.380000000000003,5.1109928,26.122247,1.9067334000000002,0.1391776200000001,0.06492516000000004,1.3358831999999996,1.1079600000000003,1.5300399999999996,1.3232567,45.93479400000001,659.97527,746.1918334960938,Jovian,K,78.886012,23.980805,0.0,0.51531529,0.0,0.0,Hot,0.0,2.5,17.612834025145514,1.4045075570558694,13.700416536243548
HD 113337 c,6299.6769,12.1,5429.934800000003,6.805,0.164,36.17999999999995,6667.33,1.41,1.53,22.817416,520.63445,43.027641,3.5560034,0.93724409,6.8965136,5.68898,7.92102,6.8280829,0.09125656399999116,139.29974000000004,170.42340087890625,Jovian,F,4.1686938,5.5126925,0.0,0.2924016,0.0,0.0,Cold,0.0,4.21,100.0,100.0,44.07409499072411
HD 28109 c,7.9430000000000405,4.23,56.00818999999319,0.30799999999999983,0.1203,139.61099999999988,6120.0,1.26,1.45,1.3703203,1.877777799999997,0.4439191,0.10494541000000002,0.005006588499999909,0.3102286999999997,0.2709476000000004,0.34505240000000015,0.30855984000000003,30.34339,596.25222,673.88330078125,Neptunian,F,2.8575905000000006,4.5641905,0.0,0.39256701,0.0,0.0,Hot,0.0,4.13,5.228918371094045,9.48168045771428,13.560188942731632
TOI-238 b,3.3999999999999773,1.4020000000000001,1.2730990999989444,0.0211800000000002,0.18,80.54070000000002,5059.0,0.79,0.73,1.5572755000000003,2.425106999999997,1.7297482,1.2337719,0.00028258058999997004,0.02152311600000001,0.01736760000000004,0.02499240000000036,0.021266705000000385,766.12592,1331.9858,1504.2687,Terran,K,0.3380648399999995,1.5698702999999998,0.0,0.4217081,0.0,0.0,Hot,0.0,4.58,2.662039510817259,5.137357673752819,11.939689477576449
TOI-4562 b,732.0,12.530000000000001,225.1178099999961,0.7679999999999998,0.76,339.605,6096.0,1.19,1.15,7.6432841,58.419792,4.6623937,0.37209846,0.015679988999999894,0.9897983999999997,0.1843199999999996,1.35168,0.8383406100000004,4.671061699999996,321.83958,361.6933288574219,Jovian,F,1.7906059,3.6129651,0.0,0.35720991,0.0,0.0,Hot,0.0,4.39,54.33929117900128,10.293722365150252,35.70067578586817
HIP 12961 b,114.41879999999998,13.2,57.43499999999767,0.25,0.17,23.37099999999998,3901.0,0.69,0.65,2.9441622,8.6680909,0.6566735499999998,0.04974799600000002,0.011403008999999908,0.2536125,0.20749999999999957,0.2925000000000004,0.25091180999999985,1.6124565000000075,285.48886,320.4986267089844,Jovian,M,0.09931160499999869,0.8508710800000001,0.0,0.40766256,0.0,0.0,Hot,0.0,4.65,23.621638812431687,100.0,20.48571823618311
HD 11755 b,1789.3829000000003,12.8,433.7000100000005,1.0899999999999999,0.19,235.04499999999996,4312.0,0.72,20.58,11.823516000000001,139.79554,10.921526,0.85324426,0.1196245600000001,1.1096744999999997,0.8829000000000002,1.2971000000000004,1.0949779,126.51179000000002,848.4906,958.34423828125,Jovian,G,147.57065,32.799239,0.0,0.47217432,0.0,0.0,Hot,0.0,1.67,31.72484963406254,0.5982897005603756,18.107368388584096
HD 29985 b,1739.4749,12.8,20608.14,13.39,0.261,31.270700000000147,4678.0,0.75,0.57,11.657464,135.89647,10.616912,0.82944625,1.3101748,13.84607,9.89521,16.88479,13.506651,0.0008236810699600028,42.59178799999995,170.42340087890625,Jovian,K,0.1425607600000003,1.0194448999999999,0.0,0.419152,0.0,0.0,Cold,0.0,4.79,100.0,100.0,34.96496607411051
HD 115954 b,2685.65,12.6,3700.0,5.0,0.487,87.64370000000008,5957.0,1.18,1.21,14.599549,213.14683,16.916415,1.3425726,0.33749066000000005,5.5929225,2.565,7.435,5.1612576,0.1386263599999893,147.90128000000004,170.42340087890625,Jovian,G,3.0269133999999998,4.6974673,0.0,0.48750431,0.0,0.0,Cold,0.0,4.15,100.0,84.73978806265154,38.2155182095581
HIP 97233 b,6098.1736,12.1,1062.2651000000042,2.491,0.63,102.27499999999998,5020.0,1.81,5.34,22.449528,503.98129,41.651347,3.44226,0.1382083999999999,2.985339,0.9216699999999998,4.06033,2.6346003,3.3193869000000404,313.86461,354.01141357421875,Jovian,K,15.99558,10.798508,0.0,0.56222565,0.0,0.0,Hot,0.0,3.26,100.0,5.762029260583236,57.08396596099048
